Program,Organization,Description,Status,Environmental_Themes,Services_&_Resources,Title_I_Schools_&_Low_Socioeconomic_Background_Focus,Title_I_School_Participants,Rural_Communities_Focus,Engaging_Rural_Communities,Adaptive_to_Local_Context,Other_Languages,COVID-19_Adaptations,Program_Locations,Program_Times,Groups_Served,Impact_Evaluation,Student_Engagement_Frequency,Teacher/Administrator_Engagement_Frequency,Academic_Standards_Alignment,Academic_Standards,Participant_Tracking,Participants_Served,Students_Served,Schools_Served,Teachers/Administrators_Served,Regions_Served,Timestamp
Nature School,Cibolo Nature Center,Nature based preschool,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,No,Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Elementary School <K-5>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Multiple times a week,Not applicable,Yes (please list them below),Texas Pre-K Guidelines,No (skip the next question),31,27,,4,"Region 13 – Austin, Region 20 – San Antonio",44146.39026
Nature Walk,Lake Corpus Christi State Park [TPWD],"Join a ranger on a short walk through South Texas brushland habitat and learn about its plants, animals, and history.",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,No,,"Group size maximum of 10 individuals, masks required and social distancing recommended.","Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Post-Program Survey Only,Once a year,Not applicable,No (skip the next question),,Yes,,,,,Region 2 – Corpus Christi,44104.558
Nature's Way Preschool,Austin Nature & Science Center,"Nature’s Way Preschool (NWPS), part of the Austin Nature & Science Center, is a unique nature enrichment program that provides young children with an immersive experience into the wonders of the natural world.  Children experience fun, hands on nature & science experiences designed to connect them to the natural world while encouraging curiosity & excitement. Experiences may include climbing, digging, mud and water play, balancing on logs, creek exploration, and nature walks. ","Available in Texas, but not currently active",Outdoor Learning,"Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,No,Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Elementary School <K-5>,Pre/Post-Program Survey,Multiple times a week,Not applicable,No (skip the next question),,No (skip the next question),88,88,,,Region 13 – Austin,44146.57604
none,Texas Children in Nature - San Antonio,our partners provide numerous programs ,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water","Directly Teaching Students, Field Trips, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,Yes,,most have gone virtual,"On School Campus, Off campus, Virtual, community","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Not applicable,Not applicable,No (skip the next question),TEKS,No (skip the next question),,,,,Region 20 – San Antonio,44105.52143
Northside Elementary Environmental Education Program,Northside ISD,5th grade students in NISD planted a native landscape. The annual seasonal cycle will be able to make use of trees planted the previous year on each campus. The planting activity develops and maintaines a focus on the TEKS based learning on these tested topics throughout the activity. ,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM","Directly Teaching Students, Field Trips, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",Some of our campuses are in rural areas.,Yes,,"Our main teacher will be on-site at each campus. Part of the time he will see students face to face and other times it will just be him teaching virtually to students who might be inside the campus or learning remotely from home. Obviously, some of this will be determined on the circumstances when he visits the day of. ","On School Campus, Virtual",During School Day,Elementary School <K-5>,Post-Program Survey Only,Twice a year,Twice a year,Yes (please list them below),TEKS,Yes,8412,8092,79,360,Region 20 – San Antonio,44098.57051
NRCS Texas Urban and Rural Conservation Project,Natural Resources Conservation Service [USDA],"Texas NRCS Urban and Rural Conservation Project was created in an effort to challenge community organizations, educational institutions and Indian tribes, to focus on local grassroots conservation efforts for the betterment of people and the environment.",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water",Grant Funding,"Yes, this is our core beneficiary and strategic priority.",26-50%,"No, but it is available to rural communities","To address food deserts and educate urban citizens and youth on the benefits of locally grown fresh produce and greening of the urban landscape, NRCS awarded competitive grants to establish community and pollinator gardens, construct high tunnel systems and rainwater harvesting systems through the Texas NRCS TURCP.",Yes,Yes,,"On School Campus, Off campus","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Varies,Varies,No (skip the next question),,Yes,4300,4000,30,300,All Regions,44104.6111
Offsite Outreach,Sea Center Texas [TPWD],"Sea Center Texas attends various outdoor education events and nature-themed festivals throughout the area. SCT has a number of informative and interactive displays that showcase coastal wildlife, including our popular portable touch tank. Inquire for requirements and availability.","Available in Texas, but not currently active",Conservation (Wildlife/Habitat),"Curriculum & Instructional Materials, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,"On School Campus, Off campus","During School Day, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a month,Twice a year,No (skip the next question),,Yes,,,,,Region 4 – Houston,44119.66172
On Site Field Trips,Delores Fenwick Nature Center,"Field Trip Programs are designed by grade level and are TEK aligned. Each group will be able to discover the traits of a healthy ecosystem, learn ways to help protect natural areas and of course meet live animals. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning",Field Trips,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,No,,No,,,At our location,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Once a year,Yes (please list them below),TEKS,Yes,162,106,7,56,Region 4 – Houston,44104.67603
On-demand Webinars,Texas Wildlife Association,"Watch TWA’s On-demand Youth Webinars to spark your student’s interest, or as a great review after using our Discovery Trunks.  On-demand Webinars are completely FREE, available 24/7, TEKS aligned, and only require a quick form before viewing.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,Virtual,During School Day,"Elementary School <K-5>, Middle School <6-8>","Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Not applicable,Not applicable,Yes (please list them below),TEKS,Yes,29864,29864,400,1127,All Regions,44110.53463
Origins of Life,The Robert Wollman Planetarium at King High School,"Starting with the Big Bang and the prebiotic chemistry in the universe, explore the formation of stars, the solar systems, and the first life on Earth. Explore some of the great extinctions as well as our search for (primitive) life beyond planet Earth.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities","Both public and private schools, as well as home school groups and the public  visit the planetarium throughout the year. All visits have a teaching part, a video viewing, and a simulation (teacher led) of the night sky.",No,,We are located in a school building and will reopen when the school building is open to the public. We will abide by all socially distancing recommendations and limit the number of visitors.,On School Campus,"During School Day, After School &/or Evenings, Summer","Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Teacher comments post visit,Other [Upon request],Other [Upon request],Yes (please list them below),TEKS,Yes,212,210,1,2,Region 2 – Corpus Christi,44104.61381
